CS ST   POP   TAX NLIC   INC   ROAD FUELC
 1 ME  1029  9.00  540 3.571  1.976   557
 2 NH   771  9.00  441 4.092  1.250   404
 3 VT   462  9.00  268 3.865  1.586   259
 4 MA  5787  7.50 3060 4.870  2.351  2396
 5 RI   968  8.00  527 4.399  0.431   397
 6 CN  3082 10.00 1760 5.342  1.333  1408
 7 NY 18366  8.00 8278 5.319 11.868  6312
 8 NJ  7367  8.00 4074 5.126  2.138  3439
 9 PA 11926  8.00 6312 4.447  8.577  5528
10 OH 10783  7.00 5948 4.512  8.507  5375
11 IN  5291  8.00 2804 4.391  5.939  3068
12 IL 11251  7.50 5903 5.126 14.186  5301
13 MI  9082  7.00 5213 4.817  6.930  4768
14 WI  4520  7.00 2465 4.207  6.580  2294
15 MN  3896  7.00 2368 4.332  8.159  2204
16 IA  2883  7.00 1689 4.318 10.340  1830
17 MO  4753  7.00 2719 4.206  8.508  2865
18 ND   632  7.00  341 3.718  4.725   451
19 SD   579  7.00  419 4.716  5.915   501
20 NE  1525  8.50 1033 4.341  6.010   976
21 KS  2258  7.00 1496 4.593  7.834  1466
22 DE   565  8.00  340 4.983  0.602   305
23 MD  4056  9.00 2073 4.897  2.449  1883
24 VA  4764  9.00 2463 4.258  4.686  2604
25 WV  1781  8.50  982 4.574  2.619   819
26 NC  5214  9.00 2835 3.721  4.746  2953
27 SC  2665  8.00 1460 3.448  5.399  1537
28 GA  4720  7.50 2731 3.846  9.061  2979
29 FL  7259  8.00 4084 4.188  5.975  4169
30 KY  3299  9.00 1626 3.601  4.650  1761
31 TN  4031  7.00 2088 3.640  6.905  2301
32 AL  3510  7.00 1801 3.333  6.594  1946
33 MS  2263  8.00 1309 3.063  6.524  1306
34 AR  1978  7.50 1081 3.357  4.121  1242
35 LA  3720  8.00 1813 3.528  3.495  1812
36 OK  2634  6.58 1657 3.802  7.834  1694
37 TX 11649  5.00 6595 4.045 17.782  7451
38 MT   719  7.00  421 3.897  6.385   506
39 ID   756  8.50  501 3.635  3.274   490
40 WY   345  7.00  232 4.345  3.905   334
41 CO  2357  7.00 1475 4.449  4.639  1384
42 NM  1065  7.00  600 3.656  3.985   744
43 AZ  1945  7.00 1173 4.300  3.635  1230
44 UT  1126  7.00  572 3.745  2.611   666
45 NV   527  6.00  354 5.215  2.302   412
46 WN  3443  9.00 1966 4.476  3.942  1757
47 OR  2182  7.00 1360 4.296  4.083  1331
48 CA 20468  7.0 12130 5.002  9.794 10730
49 AK   400  8.00  181 5.162  3.246   221
50 HA  2500  5.00 1620 4.995  0.602   863
