OBS   COUNTY      T8    T3    T5    ENRL      DENS  IMTR    IM   IL      PLUN
  1   APPLING    105   106   116    3494     32.10     0     1    0   0.57184
  2   ATKINSON    78   123    86    1559     20.77     0     0    0   0.78640
  3   BACON       96    99    86    2098     36.29     0     0    0   0.47235
  4   BALDWIN     89   113   104    6333    162.27     0     1    0   0.52929
  5   BANKS      102   112   115    2040     51.00     0     0    0   0.45490
  6   BARROW      99   110   114    7257    230.62     1     1    0   0.31060
  7   BARTOW     100   118   112   10364    144.15     1     1    0   0.36183
  8   BENHILL     83    95    84    3682     68.79     0     1    0   0.52879
  9   BERRIEN    104    81    74    3003     34.88     0     0    0   0.50283
 10   BIBB        76   108   106   24840    622.29     1     0    1   0.61494
 11   BLECKLEY   109   137   120    2304     50.28     0     0    0   0.41797
 12   BRANTLEY   103    94    97    2968     29.36     0     0    0   0.49899
 13   BROOKS      59    72    84    2754     32.04     0     0    0   0.74183
 14   BRYAN      101   121   113    5139     50.44     1     1    0   0.34481
 15   BULLOCH    100   116   104    8435     72.26     0     1    0   0.52294
 16   BURKE       83    81    85    4979     25.94     0     1    0   0.74051
 17   BUTTS       80    72    72    3045     88.87     0     0    0   0.47783
 18   CALHOUN     58    65    63     911     17.29     0     0    0   0.87596
 19   CAMDEN     109   111   115    9107     67.94     0     1    0   0.35160
 20   CANDLER     79    81    81    1811     35.13     0     0    0   0.59304
 21   CARROLL     92    90   101   11335    158.84     1     1    0   0.41041
 22   CATOOSA    110   111   114    8746    299.27     1     1    0   0.28264
 23   CHARLTON    85   111    81    2021     11.90     0     0    0   0.54874
 24   CHATHAM     74    94    94   36382    515.35     1     0    1   0.54799
 25   CHATTAHO    88    77    71     457     64.86     1     0    0   0.71991
 26   CHATTOOG    91    96    96    2965     73.15     0     0    0   0.48263
 27   CHEROKEE   121   130   124   22189    286.75     1     0    1   0.14282
 28   CLARKE      98   114   101   11466    750.02     1     1    0   0.52294
 29   CLAYTON     95    90    91   41658   1419.54     1     0    1   0.47230
 30   CLINCH      87    90   100    1536      8.13     0     0    0   0.66471
 31   COBB       130   130   131   85765   1583.87     1     0    1   0.16710
 32   COFFEE      84    93    94    7415     55.40     0     1    0   0.56237
 33   COLQUITT    87   104   101    8327     70.54     0     1    0   0.55818
 34   COLUMBIA   120   134   123   17923    297.15     1     0    1   0.18289
 35   COOK        89    75    76    2936     62.64     0     0    0   0.58038
 36   COWETA      97    99   111   14361    172.18     1     0    1   0.30778
 37   CRAWFORD    94   103   111    1889     32.34     0     0    0   0.51244
 38   CRISP       70    95   100    4568     75.39     0     1    0   0.64251
 39   DADE       120   120   119    2521     83.30     1     0    0   0.40500
 40   DAWSON      98   120   115    2154     61.69     0     0    0   0.32266
 41   DECATUR    105   112   112    5980     44.45     0     1    0   0.58077
 42   DEKALB      86   100    99   90311   2198.27     1     0    1   0.52876
 43   DODGE       95   115   109    3536     35.83     0     1    0   0.54779
 44   DOOLY       71    79    75    1912     26.50     0     0    0   0.78609
 45   DOUGHERT    86   104    95   17802    292.94     1     0    1   0.66391
 46   DOUGLAS    117   114   116   16012    423.80     1     0    1   0.26811
 47   EARLY       72   113   100    2785     23.76     0     0    0   0.65673
 48   ECHOLS     114    95    99     664      5.75     0     0    0   0.49096
 49   EFFINGHA   105   111   114    7563     69.58     1     1    0   0.29234
 50   ELBERT      72    78    81    3902     52.29     0     1    0   0.50384
 51   EMANUEL     89    87    87    5094     30.66     0     1    0   0.63840
 52   EVANS       68    57    72    1888     51.45     0     0    0   0.61494
 53   FANNIN     124   124   104    3012     46.00     0     0    0   0.43592
 54   FAYETTE    138   145   140   17502    414.85     1     0    1   0.06491
 55   FLOYD      108   116   115   10151    164.47     0     1    0   0.30529
 56   FORSYTH    125   127   124   11519    306.14     1     1    0   0.14845
 57   FRANKLIN   108   104   119    3401     69.06     0     0    0   0.40312
 58   FULTON     121   131   124   59953   1358.68     1     0    1   0.33244
 59   GILMER     111   111   102    3246     39.53     0     0    0   0.41805
 60   GLASCOCK   123   157   123     494     16.84     0     0    0   0.47368
 61   GLYNN      103    97   101   11390    155.32     0     1    0   0.39895
 62   GORDON     101   127   117    5710    110.84     0     1    0   0.31856
 63   GRADY       96   107   105    4740     46.82     0     1    0   0.51308
 64   GREENE      65    82    60    2467     33.50     0     0    0   0.76044
 65   GWINNETT   130   137   132   88855   1104.18     1     0    1   0.14240
 66   HABERSHA   114   127   127    5512    110.69     0     1    0   0.30969
 67   HALL       109   115   114   17571    287.10     0     0    1   0.30789
 68   HANCOCK     71    96    82    1783     19.06     0     0    0   0.83343
 69   HARALSON   116    99    89    3378     84.59     0     0    0   0.41711
 70   HARRIS      92   133   112    3762     45.93     1     1    0   0.39553
 71   HART       100    96   105    3512     90.46     0     1    0   0.41059
 72   HEARD       99   109   112    1915     33.28     0     0    0   0.46527
 73   HENRY      113   113   114   17227    281.90     1     0    1   0.20323
 74   HOUSTON    106   124   119   19956    269.07     1     0    1   0.35754
 75   IRWIN       88    82    96    2006     24.86     0     0    0   0.58873
 76   JACKSON    106   103   100    4708    102.89     0     1    0   0.42778
 77   JASPER      90   106   100    1778     25.79     0     0    0   0.64679
 78   JEFFDAVI    98   113    91    2675     37.83     0     0    0   0.48710
 79   JEFFERSO    75    75    74    3853     33.84     0     1    0   0.74228
 80   JENKINS    108    92   108    1753     24.22     0     0    0   0.66001
 81   JOHNSON     74    58    72    1489     27.11     0     0    0   0.66219
 82   JONES      104   104   109    4494     56.70     1     1    0   0.31464
 83   LAMAR       75    85    92    2558     75.91     0     0    0   0.52815
 84   LANIER      59    88    80    1430     35.39     0     0    0   0.56084
 85   LAURENS     95   116   106    5231     53.34     0     1    0   0.56911
 86   LEE        115   132   127    5064     58.19     1     1    0   0.26066
 87   LIBERTY     85    96   100   11177    113.78     0     1    0   0.49244
 88   LINCOLN    105   100   102    1578     38.02     0     0    0   0.52788
 89   LONG        88    96    91    1790     20.33     0     0    0   0.61676
 90   LOWNDES    100   121   121    8278    166.53     0     1    0   0.41773
 91   LUMPKIN    121   133   123    2973     60.76     0     0    0   0.35284
 92   MACON       58   105    75    2504     32.58     0     0    0   0.80511
 93   MADISON    110   110   114    4367     85.06     1     1    0   0.40577
 94   MARION      81   104    83    1838     17.28     0     0    0   0.63493
 95   MCDUFFIE    94    93    84    4522     82.66     1     1    0   0.52234
 96   MCINTOSH    72    62    92    1841     22.13     0     0    0   0.47474
 97   MERIWETH    51    64    67    4254     45.58     0     1    0   0.65891
 98   MILLER     101   104   102    1308     21.70     0     0    0   0.54052
 99   MITCHELL    60    85    63    2894     41.00     0     0    0   0.73739
100   MONROE      97    84    98    3700     48.95     0     1    0   0.40432
101   MONTGOME    81    94    92    1291     31.39     0     0    0   0.58095
102   MORGAN      96   108   124    2788     40.52     0     0    0   0.42468
103   MURRAY      94    83    96    6202     89.36     0     1    0   0.39487
104   MUSCOGEE    93    95    98   33606    847.87     1     0    1   0.54627
105   NEWTON      97   102   114    9769    190.70     1     1    0   0.41929
106   OCONEE     131   133   131    4713    120.61     1     1    0   0.19160
107   OGLETHOR    92   109   110    1994     24.71     0     0    0   0.45436
108   PAULDING   103   113   110   12218    204.31     1     1    0   0.22410
109   PEACH       96    89    99    4533    155.72     1     1    0   0.55967
110   PICKENS     97    99   117    3383     75.70     1     0    0   0.37541
111   PIERCE      92    91    98    3088     44.52     0     0    0   0.53271
112   PIKE        97    91    98    2419     53.58     0     0    0   0.30757
113   POLK        90    89    88    6867    113.66     0     1    0   0.42580
114   PULASKI     83   100    70    1690     33.42     0     0    0   0.58994
115   PUTNAM      88    97    96    2489     47.93     0     0    0   0.61069
116   RABUN      112   127   114    1918     35.07     0     0    0   0.41345
117   RANDOLPH    65    63    74    1894     18.61     0     0    0   0.82999
118   RICHMOND    83    84    88   36826    597.91     1     0    1   0.63537
119   ROCKDALE   120   137   129   12858    499.00     1     1    0   0.22601
120   SCREVEN     83    79    88    3253     22.03     0     0    0   0.67999
121   SEMINOLE    88    88    67    2017     38.86     0     0    0   0.59296
122   SPALDING    83   105    99   10495    291.48     1     1    0   0.49309
123   STEPHENS   101   112   118    4182    140.80     0     1    0   0.38331
124   STEWART     71    52    60     892     12.06     0     0    0   0.85090
125   SUMTER      74    86    84    5675     63.19     0     1    0   0.75419
126   TALBOT      65    53    44     938     17.46     0     0    0   0.81023
127   TATTNALL    86    89    73    3473     38.72     0     0    0   0.62971
128   TAYLOR      72    90    89    1817     21.69     0     0    0   0.62080
129   TELFAIR     86   100    90    2171     26.43     0     0    0   0.65085
130   TERRELL     45    74    62    2082     33.06     0     0    0   0.77233
131   THOMAS      99   100   104    5190     76.42     0     1    0   0.54451
132   TIFT        84   114   100    7628    139.00     0     1    0   0.49712
133   TOOMBS      87    81    86    2696     69.44     0     0    0   0.62203
134   TOWNS      105   142   108     948     47.99     0     0    0   0.39873
135   TREUTLEN    87    86    96    1324     29.41     0     0    0   0.60498
136   TROUP       87   104    98   11333    141.50     0     1    0   0.47031
137   TURNER      75    77    81    2035     31.47     0     0    0   0.66781
138   TWIGGS      67    85    75    2006     27.39     1     0    0   0.72582
139   UNION      127   129   114    2488     46.24     0     0    0   0.44092
140   UPSON       93   119   112    4914     82.71     0     1    0   0.50407
141   WALKER      90   100   100    8644    137.04     1     1    0   0.42376
142   WALTON      84   108   103    8460    149.73     1     1    0   0.32482
143   WARE        95   114   111    6752     39.41     0     1    0   0.53229
144   WARREN      62    66    66    1091     21.02     0     0    0   0.79835
145   WASHINGT    87    81    98    3965     29.26     0     1    0   0.69004
146   WAYNE       92    86    89    4982     38.21     0     1    0   0.50803
147   WHEELER     90    93    80    1057     16.57     0     0    0   0.67171
148   WHITE      110   129   114    2943     66.80     0     0    0   0.31464
