                 ID     E1    E2     GPA   DG    SX    SCORE
                  1     50    50    3.29    M     F       56 
                  2     93    70    3.60    M     M       78 
                  3     73    79    3.74    M     F       78 
                  4     58    94    3.81    P     F       78 
                  5     63    57    3.46    M     M       61 
                  6     74    41    3.64    M     F       67 
                  7     58    57    3.48    M     M       65 
                  8     92    79    3.79    P     M       86 
                  9    100    95    3.95    P     F       95 
                 10     70    63    3.41    P     F       64 
                 11     63    35    3.27    M     F       47 
                 12     51    56    3.25    P     M       53 
                 13     85    95    4.00    P     F       93 
                 14     87    83    3.86    P     F       88 
                 15     60    63    3.61    M     M       69 
                 16     93    80    3.80    M     F       79 
                 17     83    63    3.87    P     M       76 
                 18     98    79    3.72    M     F       81 
                 19     76    84    3.80    M     M       80 
                 20     68    58    3.52    P     F       66 
                 21     69    35    3.44    P     M       57 
                 22     78    64    3.68    M     M       76 
                 23     46    74    3.34    M     F       61 
                 24     88    84    3.55    P     M       73 
                 25     58    43    3.40    M     M       57 
                 26     64    71    3.46    P     M       70 
                 27     97    98    3.96    P     F       93 
                 28     62    51    3.75    M     F       64 
                 29     71    78    3.60    P     F       73 
                 30     72    63    3.32    P     M       61 
                 31     87    80    3.88    P     F       81 
                 32     83    74    4.00    P     F       86 
                 33     83    59    3.90    M     M       74 
                 34     35    33    3.39    M     F       48 
                 35     90    78    3.90    M     F       82 
                 36     77    68    3.74    M     M       75 
                 37     55    64    3.90    P     M       75 
                 38     70    71    3.47    P     F       66 
                 39     40    58    3.37    M     M       51 
                 40     91    93    3.66    P     M       83 
                 41     87    88    4.00    P     F       93 
                 42     95    68    3.81    P     F       82 
                 43     90    75    3.85    M     F       78 
                 44     54    50    3.63    P     M       63 
                 45     99    96    4.00    P     F       97 
                 46     87    69    3.54    M     F       75 
                 47    100    93    4.00    P     F       96 
                 48     88    91    4.00    P     F       92 
                 49     69    35    3.70    M     F       64 
                 50     92    90    4.00    P     F       88 
                 51     86    44    3.42    M     F       58 
                 52     83    62    3.70    M     F       70 
                 53     63    64    3.52    M     F       65 
                 54     80    87    3.88    P     M       81 
                 55     89    78    3.65    M     M       76 
                 56     70    63    3.58    M     F       71 
                 57     95    72    3.82    P     M       83 
                 58     95    81    3.80    P     M       80 
                 59     94    98    3.90    M     F       87 
                 60     91    83    4.00    P     F       88 
                 61     95    92    4.00    P     M       89 
                 62     59    55    3.52    M     M       58 
