RUNS   ORUN    HIT   ERR  RES
  12     12     13     5    T 
  13      2     17     3    W 
  12      6     19     4    W 
   2     23      8     6    L 
  10      8     17     4    W 
   6     17      7     5    L 
   3      7      8     3    L 
   6      5      5     3    W 
   3      0     13     3    W 
   6     19     13     6    L 
   7     10     16     6    L 
   2      6      7     4    L 
   2      5     10     3    L 
   9      4     16     2    W 
  19     10     25     5    W 
  13      4     19     3    W 
   5     12      9     4    L 
  10      8     16     3    W 
   9     15     13     3    L 
  19      5     22     3    W 
   8      1     14     1    W 
  20      8     22     2    W 
  17      2     19     1    W 
   8      7     14     0    W 
   2      9      5     3    L 
  14      5     18     2    W 
   9      8     15     5    W 
  18      5     19     3    W 
  20      7     22     1    W 
   8      6     15     5    W 
  14      7     13     2    W 
  18      2     14     0    W 
  13      5     17     4    W 
  12     11     18     4    W 
   5     11      9     7    L 
  30      3     31     0    W 
  21      8     25     1    W 
  15     10     19     3    W 
   6      8     13     4    L 
  11     14     11     3    L 
   5      2      7     2    W 
   1      8      3     5    L 
   9      3      8     7    W 
   8      9     11     5    L 
  11     10     10     3    W 
   2      8      6     4    L 
   4     12     11     4    L 
  12      4     13     3    W 
  10      5     17     2    W 
  12     15     14     4    L 
  14      3     14     0    W 
   7      2     12     4    W 
  11      5      8     0    W 
  14      6     17     1    W 
  13      7     15     6    W 
   3      4     11     6    L 
   2      4      6     6    L 
   4      7     12     3    L 
   6     13     12     6    L 
  12     10     23     9    W 
  11      6     14     3    W 
  10      9     15     4    W 
  13      4     19     1    W 
   2      9     11     6    L 
   3      6      7     5    L 
   4      3     10     3    W 
   4      4     13     3    T 
   9      2     15     1    W 
   6     12     15     7    L 
   6      6     15     8    T 
  15      8     20     3    W 
   3      6      6     6    L 
  16      4     19     1    W 
  12     10     18     3    W 
  15     14     23     7    W 
   5     13     11     4    L 
  13      1     16     1    W 
   4     11      9     7    L 
   5      8     12     6    L 
   4      6     12     5    L 
   5      1      9     4    W 
   2      6     12     6    L 
   9      8     12     3    W 
  16      4     21     3    W 
  15      5     17     3    W 
   8     11     14     1    L 
  12     14     15     9    L 
   7     14     15     7    L 
  14      2     20     2    W 
  11     16     18    10    L 
  10      1     18     0    W 
  15      3     16     1    W 
   2      6      9     5    L 
  14      7     16     4    W 
  16      2     20     1    W 
  12      7     16     3    W 
  10      9     11     3    W 
   1     17      5     2    L 
   7      4     10     2    W 
   6      1     12     3    W 
   4      9     12     5    L 
   1     13      5     6    L 
   7      3     11     1    W 
  13      7     15     3    W 
   2     10     11     5    L 
   7      5     12     4    W 
  10      2     11     5    W 
   4     12      9     6    L 
   8      9     12     4    L 
   7      8     12     6    L 
   7     12     15     6    L 
  10     19      8     9    L 
   5      4     11     4    W 
   5     13      7     4    L 
  13      9     16     5    W 
   6      1     14     2    W 
   9      7     15     4    W 
   2     14      8     5    L 
  17      2     14     3    W 
  18      2     15     2    W 
  13     13     17     3    T 
  13     12     18     8    W 
  25      5     22     1    W 
   6      4      9     3    W 
  20      0     19     2    W 
  24      2     25     4    W 
   4      0      9     2    W 
   7     17     11     6    L 
  10     10     15     2    T 
  15      0     17     2    W 
  10     13     13     5    L 
   8      4     16     3    W 
  12      6     16     3    W 
  12      1     10     3    W 
  19     12     23     6    W 
   8      1     13     1    W 
   7      9     14     3    L 
   9      4     10     4    W 
   7      6     13     3    W 
  18      7     19     4    W 
  10      7     12     4    W 
  12     10     17     4    W 
  11      3     14     0    W 
  13      5     16     3    W 
  10      4     17     4    W 
   6     12      6     2    L 
  12      2     11     2    W 
   6     15     12     3    L 
  14     10     17     2    W 
   3     14      5     4    L 
  12      0     16     0    W 
  17      6     17     0    W 
  10      2     16     2    W 
  22      0     28     2    W 
  11      3     13     0    W 
   5     10     16     5    L 
  10      6     15     4    W 
   8      6     12     5    W 
   5      4     11     4    W 
   5      4     13     5    W 
  18     11     20     5    W 
  14     13     17     8    W 
  12      3     12     2    W 
   3      7      6     1    L 
   8      5     18     2    W 
  10      9     17     4    W 
  14     13     18     3    W 
  13     14     16     5    L 
  14      0     17     0    W 
  11     10     13     8    W 
  16      0     13     1    W 
  16      3     18     2    W 
  13      3     18     2    W 
   8      6     10     2    W 
  16      5     21     6    W 
  12      4     16     4    W 
  19      3     22     2    W 
  16      5     21     3    W 
  10      5     14     2    W 
  14      6     21     4    W 
   7      6     15     2    W 
   9      5     13     1    W 
   6      8      9     2    L 
  11     10     14     4    W 
   8      9     13     6    L 
   8      3     16     4    W 
  19      0     19     0    W 
  14      6     17     3    W 
   1     16      6     4    L 
  10     11     13     6    L 
  17      9     24     4    W 
   7     14     12     5    L 
  19      1     25     1    W 
  13      8     19     4    W 
