    income    IHMOP    INWH    IOLD      R   N
       1        0        0       0      20  52
       1        0        0       1       3  25
       1        0        1       0       6  12
       1        0        1       1       3   7
       1        1        0       0       7  14
       1        1        0       1       3   5
       1        1        1       0       1   5
       1        1        1       1       1   1
       2        0        0       0      40 115
       2        0        0       1      16  94
       2        0        1       0       7  20
       2        0        1       1       6   8
       2        1        0       0       9  26
       2        1        0       1       1   5
       2        1        1       0       4   6
       2        1        1       1       0   1
       3        0        0       0      18  68
       3        0        0       1       8  67
       3        0        1       0       2   9
       3        0        1       1       1   5
       3        1        0       0      12  24
       3        1        0       1       2  15
       3        1        1       0       3   5
       3        1        1       1       0   0
       4        0        0       0       3  20
       4        0        0       1       6  67
       4        0        1       0       1   2
       4        0        1       1       1   2
       4        1        0       0       7  15
       4        1        0       1       2   8
       4        1        1       0       2   3
       4        1        1       1       0   0
       5        0        0       0       2  13
       5        0        0       1       4  86
       5        0        1       0       0   1
       5        0        1       1       0   2
       5        1        0       0       4   7
       5        1        0       1       3  15
       5        1        1       0       0   1
       5        1        1       1       0   0
